Label,Total_Energy_kWh,Holiday,Weekday,Year,Month,Day,Hour
2018/1/1 00:00,0,1,0,2018,1,1,0
2018/1/1 01:00,0,1,0,2018,1,1,1
2018/1/1 02:00,0,1,0,2018,1,1,2
2018/1/1 03:00,0,1,0,2018,1,1,3
2018/1/1 04:00,0,1,0,2018,1,1,4
2018/1/1 05:00,0,1,0,2018,1,1,5
2018/1/1 06:00,0,1,0,2018,1,1,6
2018/1/1 07:00,0,1,0,2018,1,1,7
2018/1/1 08:00,0,1,0,2018,1,1,8
2018/1/1 09:00,0,1,0,2018,1,1,9
2018/1/1 10:00,0,1,0,2018,1,1,10
2018/1/1 11:00,0,1,0,2018,1,1,11
2018/1/1 12:00,0,1,0,2018,1,1,12
2018/1/1 13:00,0,1,0,2018,1,1,13
2018/1/1 14:00,0,1,0,2018,1,1,14
2018/1/1 15:00,0,1,0,2018,1,1,15
2018/1/1 16:00,0,1,0,2018,1,1,16
2018/1/1 17:00,0.581658537,1,0,2018,1,1,17
2018/1/1 18:00,3.172682927,1,0,2018,1,1,18
2018/1/1 19:00,2.749658537,1,0,2018,1,1,19
2018/1/1 20:00,0,1,0,2018,1,1,20
2018/1/1 21:00,0,1,0,2018,1,1,21
2018/1/1 22:00,0,1,0,2018,1,1,22
2018/1/1 23:00,0,1,0,2018,1,1,23
2018/1/2 00:00,0,0,1,2018,1,2,0
2018/1/2 01:00,0,0,1,2018,1,2,1
2018/1/2 02:00,0,0,1,2018,1,2,2
2018/1/2 03:00,0,0,1,2018,1,2,3
2018/1/2 04:00,0,0,1,2018,1,2,4
2018/1/2 05:00,0,0,1,2018,1,2,5
2018/1/2 06:00,0,0,1,2018,1,2,6
2018/1/2 07:00,0,0,1,2018,1,2,7
2018/1/2 08:00,0.806829268,0,1,2018,1,2,8
2018/1/2 09:00,1.674170732,0,1,2018,1,2,9
2018/1/2 10:00,0,0,1,2018,1,2,10
2018/1/2 11:00,0,0,1,2018,1,2,11
2018/1/2 12:00,0,0,1,2018,1,2,12
2018/1/2 13:00,0,0,1,2018,1,2,13
2018/1/2 14:00,0,0,1,2018,1,2,14
2018/1/2 15:00,0,0,1,2018,1,2,15
2018/1/2 16:00,0,0,1,2018,1,2,16
2018/1/2 17:00,0,0,1,2018,1,2,17
2018/1/2 18:00,0,0,1,2018,1,2,18
2018/1/2 19:00,0,0,1,2018,1,2,19
2018/1/2 20:00,0,0,1,2018,1,2,20
2018/1/2 21:00,3.339012681,0,1,2018,1,2,21
2018/1/2 22:00,4.088586957,0,1,2018,1,2,22
2018/1/2 23:00,4.088586957,0,1,2018,1,2,23
2018/1/3 00:00,4.088586957,0,2,2018,1,3,0
2018/1/3 01:00,4.088586957,0,2,2018,1,3,1
2018/1/3 02:00,4.088586957,0,2,2018,1,3,2
2018/1/3 03:00,4.088586957,0,2,2018,1,3,3
2018/1/3 04:00,4.088586957,0,2,2018,1,3,4
2018/1/3 05:00,4.088586957,0,2,2018,1,3,5
2018/1/3 06:00,4.088586957,0,2,2018,1,3,6
2018/1/3 07:00,4.088586957,0,2,2018,1,3,7
2018/1/3 08:00,4.088586957,0,2,2018,1,3,8
2018/1/3 09:00,6.573988353,0,2,2018,1,3,9
2018/1/3 10:00,7.725759731,0,2,2018,1,3,10
2018/1/3 11:00,4.913012785,0,2,2018,1,3,11
2018/1/3 12:00,4.088586957,0,2,2018,1,3,12
2018/1/3 13:00,4.088586957,0,2,2018,1,3,13
2018/1/3 14:00,11.50096791,0,2,2018,1,3,14
2018/1/3 15:00,4.19192029,0,2,2018,1,3,15
