Label,Total_Energy_kWh,Holiday,Weekday,Year,Month,Day,sin_Hour,cos_Hour
2018/1/1-17,0.58,0,0,2018,1,1,-0.9659258262890683,-0.25881904510252063
2018/1/1-18,3.17,0,0,2018,1,1,-1.0,-1.8369701987210297e-16
2018/1/1-19,2.75,0,0,2018,1,1,-0.9659258262890684,0.2588190451025203
2018/1/2-8,0.81,0,1,2018,1,2,0.8660254037844387,-0.4999999999999998
2018/1/2-9,1.67,0,1,2018,1,2,0.7071067811865476,-0.7071067811865475
2018/1/2-21,3.34,0,1,2018,1,2,-0.7071067811865477,0.7071067811865474
2018/1/2-22,4.09,0,1,2018,1,2,-0.5000000000000004,0.8660254037844384
2018/1/2-23,4.09,0,1,2018,1,2,-0.25881904510252157,0.9659258262890681
2018/1/3-9,6.58,0,2,2018,1,3,0.7071067811865476,-0.7071067811865475
2018/1/3-10,7.73,0,2,2018,1,3,0.49999999999999994,-0.8660254037844387
2018/1/3-11,4.91,0,2,2018,1,3,0.258819045102521,-0.9659258262890682
2018/1/3-14,11.51,0,2,2018,1,3,-0.4999999999999997,-0.8660254037844388
2018/1/3-15,4.19,0,2,2018,1,3,-0.7071067811865471,-0.7071067811865479
2018/1/4-9,1.02,0,3,2018,1,4,0.7071067811865476,-0.7071067811865475
2018/1/4-10,1.98,0,3,2018,1,4,0.49999999999999994,-0.8660254037844387
2018/1/4-11,1.43,0,3,2018,1,4,0.258819045102521,-0.9659258262890682
2018/1/4-12,3.76,0,3,2018,1,4,1.2246467991473532e-16,-1.0
2018/1/4-13,5.85,0,3,2018,1,4,-0.2588190451025208,-0.9659258262890683
2018/1/4-14,3.63,0,3,2018,1,4,-0.4999999999999997,-0.8660254037844388
2018/1/4-15,3.63,0,3,2018,1,4,-0.7071067811865471,-0.7071067811865479
2018/1/4-16,7.17,0,3,2018,1,4,-0.8660254037844385,-0.5000000000000004
2018/1/4-17,1.78,0,3,2018,1,4,-0.9659258262890683,-0.25881904510252063
2018/1/4-20,3.02,0,3,2018,1,4,-0.8660254037844386,0.5000000000000001
2018/1/4-21,8.23,0,3,2018,1,4,-0.7071067811865477,0.7071067811865474
2018/1/4-22,4.12,0,3,2018,1,4,-0.5000000000000004,0.8660254037844384
2018/1/4-23,4.12,0,3,2018,1,4,-0.25881904510252157,0.9659258262890681
2018/1/5-14,5.71,0,4,2018,1,5,-0.4999999999999997,-0.8660254037844388
2018/1/5-16,6.31,0,4,2018,1,5,-0.8660254037844385,-0.5000000000000004
2018/1/5-17,4.23,0,4,2018,1,5,-0.9659258262890683,-0.25881904510252063
2018/1/6-7,0.63,0,5,2018,1,6,0.9659258262890683,-0.25881904510252063
2018/1/6-8,5.83,0,5,2018,1,6,0.8660254037844387,-0.4999999999999998
2018/1/6-9,3.52,0,5,2018,1,6,0.7071067811865476,-0.7071067811865475
2018/1/6-10,3.06,0,5,2018,1,6,0.49999999999999994,-0.8660254037844387
2018/1/6-11,3.06,0,5,2018,1,6,0.258819045102521,-0.9659258262890682
2018/1/6-12,3.06,0,5,2018,1,6,1.2246467991473532e-16,-1.0
2018/1/6-13,0.63,0,5,2018,1,6,-0.2588190451025208,-0.9659258262890683
2018/1/6-14,0.42,0,5,2018,1,6,-0.4999999999999997,-0.8660254037844388
2018/1/6-15,4.99,0,5,2018,1,6,-0.7071067811865471,-0.7071067811865479
2018/1/6-16,7.19,0,5,2018,1,6,-0.8660254037844385,-0.5000000000000004
2018/1/6-17,0.73,0,5,2018,1,6,-0.9659258262890683,-0.25881904510252063
2018/1/7-9,0.56,1,6,2018,1,7,0.7071067811865476,-0.7071067811865475
2018/1/7-10,2.36,1,6,2018,1,7,0.49999999999999994,-0.8660254037844387
2018/1/7-11,0.56,1,6,2018,1,7,0.258819045102521,-0.9659258262890682
2018/1/7-12,3.71,1,6,2018,1,7,1.2246467991473532e-16,-1.0
2018/1/7-13,3.71,1,6,2018,1,7,-0.2588190451025208,-0.9659258262890683
2018/1/7-14,3.89,1,6,2018,1,7,-0.4999999999999997,-0.8660254037844388
2018/1/7-15,5.47,1,6,2018,1,7,-0.7071067811865471,-0.7071067811865479
2018/1/7-16,9.32,1,6,2018,1,7,-0.8660254037844385,-0.5000000000000004
2018/1/7-17,1.02,1,6,2018,1,7,-0.9659258262890683,-0.25881904510252063
2018/1/8-10,1.04,0,0,2018,1,8,0.49999999999999994,-0.8660254037844387
2018/1/8-11,4.18,0,0,2018,1,8,0.258819045102521,-0.9659258262890682
2018/1/8-12,6.49,0,0,2018,1,8,1.2246467991473532e-16,-1.0
2018/1/8-13,5.66,0,0,2018,1,8,-0.2588190451025208,-0.9659258262890683
2018/1/8-14,5.66,0,0,2018,1,8,-0.4999999999999997,-0.8660254037844388
2018/1/8-15,1.45,0,0,2018,1,8,-0.7071067811865471,-0.7071067811865479
2018/1/9-8,0.72,0,1,2018,1,9,0.8660254037844387,-0.4999999999999998
2018/1/9-9,2.47,0,1,2018,1,9,0.7071067811865476,-0.7071067811865475
2018/1/9-10,1.55,0,1,2018,1,9,0.49999999999999994,-0.8660254037844387
2018/1/9-11,8.11,0,1,2018,1,9,0.258819045102521,-0.9659258262890682
2018/1/9-12,9.07,0,1,2018,1,9,1.2246467991473532e-16,-1.0
2018/1/9-13,6.69,0,1,2018,1,9,-0.2588190451025208,-0.9659258262890683
2018/1/9-14,6.88,0,1,2018,1,9,-0.4999999999999997,-0.8660254037844388
2018/1/9-15,8.69,0,1,2018,1,9,-0.7071067811865471,-0.7071067811865479
2018/1/9-16,1.66,0,1,2018,1,9,-0.8660254037844385,-0.5000000000000004
2018/1/10-9,3.58,0,2,2018,1,10,0.7071067811865476,-0.7071067811865475
2018/1/10-10,3.35,0,2,2018,1,10,0.49999999999999994,-0.8660254037844387
2018/1/10-11,0.79,0,2,2018,1,10,0.258819045102521,-0.9659258262890682
2018/1/10-12,3.45,0,2,2018,1,10,1.2246467991473532e-16,-1.0
2018/1/10-13,8.25,0,2,2018,1,10,-0.2588190451025208,-0.9659258262890683
2018/1/10-14,6.03,0,2,2018,1,10,-0.4999999999999997,-0.8660254037844388
2018/1/10-15,10.85,0,2,2018,1,10,-0.7071067811865471,-0.7071067811865479
2018/1/10-16,11.01,0,2,2018,1,10,-0.8660254037844385,-0.5000000000000004
2018/1/10-17,1.52,0,2,2018,1,10,-0.9659258262890683,-0.25881904510252063
2018/1/11-8,7.98,0,3,2018,1,11,0.8660254037844387,-0.4999999999999998
2018/1/11-9,9.95,0,3,2018,1,11,0.7071067811865476,-0.7071067811865475
2018/1/11-10,5.32,0,3,2018,1,11,0.49999999999999994,-0.8660254037844387
2018/1/11-11,11.94,0,3,2018,1,11,0.258819045102521,-0.9659258262890682
2018/1/11-12,7.15,0,3,2018,1,11,1.2246467991473532e-16,-1.0
2018/1/11-14,6.33,0,3,2018,1,11,-0.4999999999999997,-0.8660254037844388
2018/1/11-15,3.45,0,3,2018,1,11,-0.7071067811865471,-0.7071067811865479
2018/1/11-16,6.01,0,3,2018,1,11,-0.8660254037844385,-0.5000000000000004
2018/1/11-17,3.0,0,3,2018,1,11,-0.9659258262890683,-0.25881904510252063
2018/2/9-16,6.96,0,4,2018,2,9,-0.8660254037844385,-0.5000000000000004
2018/2/9-17,8.22,0,4,2018,2,9,-0.9659258262890683,-0.25881904510252063
2018/2/9-18,10.19,0,4,2018,2,9,-1.0,-1.8369701987210297e-16
2018/2/9-19,4.34,0,4,2018,2,9,-0.9659258262890684,0.2588190451025203
2018/1/31-8,0.83,0,2,2018,1,31,0.8660254037844387,-0.4999999999999998
2018/1/31-9,6.34,0,2,2018,1,31,0.7071067811865476,-0.7071067811865475
2018/1/31-10,6.94,0,2,2018,1,31,0.49999999999999994,-0.8660254037844387
2018/1/31-11,1.19,0,2,2018,1,31,0.258819045102521,-0.9659258262890682
2018/2/10-11,5.79,0,5,2018,2,10,0.258819045102521,-0.9659258262890682
2018/2/10-12,6.2,0,5,2018,2,10,1.2246467991473532e-16,-1.0
2018/2/10-13,5.6,0,5,2018,2,10,-0.2588190451025208,-0.9659258262890683
2018/2/10-14,2.67,0,5,2018,2,10,-0.4999999999999997,-0.8660254037844388
2018/2/10-15,1.43,0,5,2018,2,10,-0.7071067811865471,-0.7071067811865479
2018/2/10-16,1.33,0,5,2018,2,10,-0.8660254037844385,-0.5000000000000004
2018/2/10-17,6.43,0,5,2018,2,10,-0.9659258262890683,-0.25881904510252063
2018/2/10-18,1.36,0,5,2018,2,10,-1.0,-1.8369701987210297e-16
2018/2/11-8,2.06,1,6,2018,2,11,0.8660254037844387,-0.4999999999999998
2018/2/11-9,4.22,1,6,2018,2,11,0.7071067811865476,-0.7071067811865475
2018/2/11-10,3.47,1,6,2018,2,11,0.49999999999999994,-0.8660254037844387
2018/2/11-11,2.0,1,6,2018,2,11,0.258819045102521,-0.9659258262890682
2018/2/11-12,2.0,1,6,2018,2,11,1.2246467991473532e-16,-1.0
2018/2/11-13,1.17,1,6,2018,2,11,-0.2588190451025208,-0.9659258262890683
2018/2/11-14,4.6,1,6,2018,2,11,-0.4999999999999997,-0.8660254037844388
2018/2/11-15,12.16,1,6,2018,2,11,-0.7071067811865471,-0.7071067811865479
2018/2/11-16,16.28,1,6,2018,2,11,-0.8660254037844385,-0.5000000000000004
2018/2/11-17,8.94,1,6,2018,2,11,-0.9659258262890683,-0.25881904510252063
2018/2/11-18,4.05,1,6,2018,2,11,-1.0,-1.8369701987210297e-16
2018/2/11-19,2.42,1,6,2018,2,11,-0.9659258262890684,0.2588190451025203
2018/2/11-20,1.17,1,6,2018,2,11,-0.8660254037844386,0.5000000000000001
2018/2/12-7,4.93,0,0,2018,2,12,0.9659258262890683,-0.25881904510252063
2018/2/12-8,11.17,0,0,2018,2,12,0.8660254037844387,-0.4999999999999998
2018/2/12-9,17.92,0,0,2018,2,12,0.7071067811865476,-0.7071067811865475
2018/2/12-10,9.61,0,0,2018,2,12,0.49999999999999994,-0.8660254037844387
2018/2/12-11,8.54,0,0,2018,2,12,0.258819045102521,-0.9659258262890682
2018/2/12-12,9.28,0,0,2018,2,12,1.2246467991473532e-16,-1.0
2018/2/12-13,16.19,0,0,2018,2,12,-0.2588190451025208,-0.9659258262890683
2018/2/12-14,15.9,0,0,2018,2,12,-0.4999999999999997,-0.8660254037844388
