Label,Total_Energy_kWh,Holiday
2018/1/1-17,0.58,False
2018/1/1-18,3.17,False
2018/1/1-19,2.75,False
2018/1/2-8,0.81,False
2018/1/2-9,1.67,False
2018/1/2-21,3.34,False
2018/1/2-22,4.09,False
2018/1/2-23,4.09,False
2018/1/3-9,6.58,False
2018/1/3-10,7.73,False
2018/1/3-11,4.91,False
2018/1/3-14,11.51,False
2018/1/3-15,4.1899999999999995,False
2018/1/4-9,1.02,False
2018/1/4-10,1.98,False
2018/1/4-11,1.43,False
2018/1/4-12,3.76,False
2018/1/4-13,5.8500000000000005,False
2018/1/4-14,3.63,False
2018/1/4-15,3.63,False
2018/1/4-16,7.17,False
2018/1/4-17,1.78,False
2018/1/4-20,3.02,False
2018/1/4-21,8.23,False
2018/1/4-22,4.12,False
2018/1/4-23,4.12,False
2018/1/5-14,5.71,False
2018/1/5-16,6.3100000000000005,False
2018/1/5-17,4.23,False
2018/1/6-7,0.63,False
2018/1/6-8,5.83,False
2018/1/6-9,3.5200000000000005,False
2018/1/6-10,3.06,False
2018/1/6-11,3.06,False
2018/1/6-12,3.06,False
2018/1/6-13,0.63,False
2018/1/6-14,0.42,False
2018/1/6-15,4.99,False
2018/1/6-16,7.19,False
2018/1/6-17,0.73,False
2018/1/7-9,0.56,True
2018/1/7-10,2.36,True
2018/1/7-11,0.56,True
2018/1/7-12,3.71,True
2018/1/7-13,3.71,True
2018/1/7-14,3.89,True
2018/1/7-15,5.47,True
2018/1/7-16,9.32,True
2018/1/7-17,1.02,True
2018/1/8-10,1.04,False
2018/1/8-11,4.18,False
2018/1/8-12,6.49,False
2018/1/8-13,5.66,False
2018/1/8-14,5.66,False
2018/1/8-15,1.45,False
2018/1/9-8,0.72,False
2018/1/9-9,2.47,False
2018/1/9-10,1.55,False
2018/1/9-11,8.11,False
2018/1/9-12,9.07,False
2018/1/9-13,6.6899999999999995,False
2018/1/9-14,6.88,False
2018/1/9-15,8.69,False
2018/1/9-16,1.6600000000000001,False
2018/1/10-9,3.58,False
2018/1/10-10,3.35,False
2018/1/10-11,0.79,False
2018/1/10-12,3.45,False
2018/1/10-13,8.25,False
2018/1/10-14,6.029999999999999,False
2018/1/10-15,10.850000000000001,False
2018/1/10-16,11.01,False
2018/1/10-17,1.52,False
2018/1/11-8,7.98,False
2018/1/11-9,9.95,False
2018/1/11-10,5.32,False
2018/1/11-11,11.940000000000001,False
2018/1/11-12,7.15,False
2018/1/11-14,6.33,False
2018/1/11-15,3.4499999999999997,False
2018/1/11-16,6.01,False
2018/1/11-17,3.0,False
2018/2/9-16,6.960000000000001,False
2018/2/9-17,8.22,False
2018/2/9-18,10.19,False
2018/2/9-19,4.34,False
2018/1/31-8,0.83,False
2018/1/31-9,6.34,False
2018/1/31-10,6.9399999999999995,False
2018/1/31-11,1.19,False
