y_test,y_hat
0.0,-0.09657521
0.0,-0.07072027
0.0,-0.037806343
0.0,-0.0075356937
0.0,0.018507812
0.0,0.042877622
0.0,0.06999592
3.187919,0.10473327
12.392623,0.1512019
16.66291,0.21123171
15.762057,0.28255978
22.32824,0.35750073
26.817055,0.42342165
22.860815,0.46588328
33.9162,0.4737516
29.25564,0.44368815
20.71455,0.38151523
29.817316,0.299784
30.005564,0.21319838
27.833057,0.13429819
19.392256,0.07103267
12.163958,0.026491068
6.5248275,-4.2894615e-05
6.5248275,-0.011633344
5.123754,-0.08960362
5.123754,-0.09395297
8.140687,-0.0981963
6.744422,-0.09963286
5.8392253,-0.09833631
5.8392253,-0.09374416
5.8392253,-0.0841908
8.91084,-0.06723529
8.166971,-0.04051437
5.3166285,-0.0030147631
7.461593,0.043565553
28.662535,0.09390198
33.062748,0.13937594
31.216818,0.17009495
16.581724,0.17812839
9.376082,0.16051246
7.553945,0.120419756
4.8689017,0.065899886
11.847265,0.0069562118
18.90242,-0.047453586
19.709974,-0.09130969
15.764087,-0.12196558
8.622703,-0.13960093
6.0177817,-0.14628117
6.0177817,-0.14628603
1.6849788,-0.11646859
0.0,-0.07340564
0.0,-0.040034436
0.0,-0.01586858
0.0,0.005451663
0.0,0.03209893
0.59207964,0.07246762
6.864835,0.13326629
19.265287,0.21681853
32.646988,0.3182837
31.321005,0.4245879
35.43024,0.5168631
33.25803,0.5764025
40.332607,0.59145284
35.660706,0.56123155
27.925127,0.49518678
24.051735,0.4085348
14.484859,0.3168949
8.455474,0.23235932
3.799871,0.1619903
0.0,0.10820855
0.0,0.07013755
1.741763,0.045064438
6.147399,0.0018339471
2.7458382,0.01688591
0.0,0.033003766
0.0,0.053659547
0.0,0.079454586
0.0,0.111734
0.0,0.15434858
4.017914,0.21308507
17.952942,0.29384997
30.800037,0.39944518
22.82458,0.5253838
28.598734,0.65682584
25.408934,0.7698483
30.933628,0.83869094
40.56128,0.846072
28.910305,0.7903042
23.70264,0.6851193
11.076161,0.5533818
17.739489,0.41891772
12.154287,0.30018786
5.6202073,0.20752981
0.0,0.14369373
0.0,0.1061399
1.9247259,0.08955182
6.078082,0.09341233
0.8711918,0.08838638
0.0,0.08555534
0.0,0.08725169
0.0,0.09346575
0.0,0.10558793
0.0,0.12695593
1.7030356,0.16236584
10.594028,0.21669793
14.634745,0.2924288
25.968225,0.3865072
40.29852,0.48791572
48.193848,0.5782745
30.45282,0.6368191
12.675343,0.6481935
19.867764,0.6087078
17.860464,0.5274257
19.399681,0.4219673
12.157996,0.31190133
0.6566122,0.2131304
0.0,0.13511561
0.0,0.08094295
0.0,0.0489986
0.0,0.035002008
2.7139654,0.03933922
6.0310345,0.034352113
6.0310345,0.030714974
10.298363,0.030826662
9.749706,0.034532595
6.0310345,0.042845245
6.0310345,0.058475073
9.155563,0.08544122
28.79614,0.12784457
40.654854,0.18787438
69.07198,0.2633082
63.305435,0.34561244
42.67771,0.42029035
27.58679,0.47056445
22.040617,0.48337135
18.666744,0.45459634
35.25965,0.39053202
25.544449,0.305005
16.217236,0.21412587
18.903076,0.13149466
25.494122,0.065611765
25.575985,0.019654637
7.835926,-0.007316365
5.066069,-0.018733617
0.30743507,-0.013769172
6.148701,-0.018409884
6.148701,-0.022464639
6.148701,-0.023447169
6.148701,-0.021559805
3.5047596,-0.016031256
0.0,-0.0045808214
1.6413565,0.016217403
25.735487,0.049870253
31.696516,0.098274805
38.974678,0.15967724
42.13575,0.22719175
33.804867,0.28907976
29.132692,0.3316312
33.31206,0.3438651
41.138092,0.32184073
40.807068,0.27012035
33.678257,0.19973595
13.448034,0.1240229
20.862867,0.054578137
15.937185,-0.0010804588
4.9273543,-0.03989928
6.1491046,-0.062401954
0.40524775,-0.0713993
0.0,-0.065904744
0.0,-0.070095465
0.0,-0.07435417
0.0,-0.07611043
0.0,-0.07556332
0.0,-0.07208642
0.6080137,-0.06370903
8.261553,-0.047443874
20.709925,-0.020230072
55.24206,0.019575322
34.561626,0.07050175
36.919582,0.12678596
34.471222,0.17865203
49.11747,0.21467218
50.182125,0.2255828
43.218018,0.20783009
40.63869,0.16491684
30.797283,0.10588091
21.480654,0.041914515
6.434234,-0.017041303
16.401646,-0.064373486
21.839088,-0.097251
12.287548,-0.11596681
12.287548,-0.1228866
16.199518,-0.11708611
14.143488,-0.12085599
12.090606,-0.12521909
12.090606,-0.12754431
12.090606,-0.12800159
12.090606,-0.12605676
12.959572,-0.11996167
16.008059,-0.107052825
15.491188,-0.08462299
21.132273,-0.05122831
31.226274,-0.008152405
14.380426,0.039630577
23.167963,0.08377642
28.011532,0.11453996
40.86495,0.12400995
46.0348,0.10905997
43.28926,0.07252913
26.489012,0.022029217
18.921947,-0.03287589
14.66888,-0.08357571
11.966251,-0.12424304
16.686771,-0.15230422
13.084229,-0.1679389
12.134793,-0.17318176
6.078788,-0.2007816
6.078788,-0.14082141
6.078788,-0.06272326
6.078788,0.0043355934
6.078788,0.058596473
6.078788,0.10544549
6.078788,0.15359268
7.362342,0.21347922
20.013021,0.29533672
33.360165,0.40573856
37.39189,0.5427901
40.972595,0.69199455
31.508766,0.82679534
29.219349,0.9164548
30.122892,0.93852854
20.870913,0.8883224
32.291832,0.77956754
40.569862,0.6374366
34.56766,0.48907146
32.95487,0.35610545
27.560688,0.2511593
26.30426,0.17806202
22.232363,0.13430548
16.384039,0.11399366
11.946524,0.1167292
14.595534,0.11139408
13.048512,0.10881231
6.0551333,0.111172326
5.809659,0.11846279
7.52773,0.13241406
2.9633477,0.15710032
14.100949,0.19844182
23.733885,0.26253206
43.35649,0.35256705
46.438774,0.46483034
24.27205,0.58568794
23.754719,0.6925425
14.164089,0.76044387
19.980286,0.7717818
21.123802,0.7234209
10.427943,0.62714034
14.783212,0.5040546
5.3325515,0.37683162
4.2473288,0.26342475
0.0,0.17422093
0.0,0.112331286
0.0,0.07561997
3.0795918,0.059067506
6.5248275,-0.007177969
