y_test,y_hat
0.0,0.8982153
0.0,0.6926437
0.0,0.59040534
0.0,0.60423326
0.0,0.78707665
0.0,1.2311312
0.0,2.0722098
3.1879191,3.4897287
12.392623,5.667361
16.66291,8.648419
15.762056,12.135166
22.32824,15.532752
26.817055,18.31282
22.860815,20.244192
33.916203,21.276436
29.255638,21.363708
20.714548,20.444197
29.817316,18.496948
30.005564,15.590097
27.833055,12.015133
19.392256,8.397934
12.163958,5.409098
6.5248275,3.3419387
6.5248275,2.0842266
5.1237535,1.3173057
5.1237535,0.9585117
8.140687,0.78539395
6.744422,0.76880926
5.8392253,0.9545332
5.8392253,1.4605812
5.8392253,2.4861314
8.91084,4.30241
8.166971,7.1274543
5.3166285,10.816744
7.461593,14.707176
28.662535,18.032627
33.062748,20.426374
31.216818,21.895126
16.581724,22.528507
9.376082,22.343012
7.5539455,21.290781
4.8689017,19.314262
11.847265,16.40076
18.90242,12.735498
19.709974,8.901283
15.764087,5.6616607
8.622703,3.4202232
6.0177817,2.0884736
6.0177817,1.3480109
1.684979,0.98270375
0.0,0.8106188
0.0,0.7680769
0.0,0.84350854
0.0,1.0528663
0.0,1.4299201
0.59207964,2.0203931
6.864835,2.8744764
19.265287,4.0322585
32.646988,5.49359
31.321005,7.1698046
35.430237,8.84438
33.258034,10.191203
40.332607,10.8590145
35.660706,10.595314
27.925127,9.393243
24.051733,7.566621
14.484859,5.6099463
8.455475,3.9208035
3.799871,2.6532512
0.0,1.7785276
0.0,1.203147
1.741763,0.8376713
6.1473985,0.5602021
2.7458382,0.41036707
0.0,0.36776492
0.0,0.43265545
0.0,0.6311546
0.0,1.0193149
0.0,1.6853607
4.017914,2.7511008
17.952942,4.359473
30.800037,6.6121616
22.824577,9.435992
28.598736,12.489055
25.408934,15.278649
30.93363,17.386837
40.56128,18.535805
28.910305,18.531578
23.702642,17.296434
11.076161,14.943555
17.739489,11.814815
12.154287,8.50676
5.6202073,5.6629295
0.0,3.613942
0.0,2.3126116
1.924726,1.5427105
6.078082,1.1185266
0.8711918,0.8869883
0.0,0.79204184
0.0,0.8244611
0.0,1.015219
0.0,1.4339616
0.0,2.1929822
1.7030357,3.4483254
10.5940275,5.3689585
14.634746,8.020494
25.968225,11.189412
40.29852,14.3744755
41.025467,17.053085
30.45282,18.901724
12.6753435,19.75188
19.867764,19.492859
17.860464,18.094109
19.399681,15.6492
12.157997,12.427922
0.6566123,8.97571
0.0,5.9624434
0.0,3.77655
0.0,2.3946059
0.0,1.5871034
2.7139657,1.1353558
6.0310345,0.8903799
6.0310345,0.7877069
10.298363,0.81708086
9.749706,1.0145392
6.0310345,1.461579
6.0310345,2.2913527
9.155564,3.689458
28.79614,5.845707
40.654854,8.790868
41.025467,12.200372
41.025467,15.475087
41.025467,18.102613
27.58679,19.84022
22.040617,20.592283
18.666746,20.28736
35.259655,18.898087
25.544449,16.48329
16.217234,13.242825
18.903076,9.6598625
25.494123,6.4324512
25.575985,4.0417137
7.835926,2.5227365
5.066069,1.6434878
0.30743507,1.15839
6.148701,0.8968719
6.148701,0.7842933
6.148701,0.8087705
6.148701,1.0118322
3.5047598,1.4884326
0.0,2.3955204
1.6413566,3.950629
25.735487,6.357625
31.696516,9.589029
38.974678,13.193568
41.025467,16.496937
33.804867,19.030443
29.13269,20.641382
33.312065,21.300879
41.025467,20.969824
40.807068,19.618631
33.678257,17.270748
13.448034,14.058357
20.862867,10.38829
15.937187,6.9620695
4.927354,4.354577
6.1491046,2.6792698
0.40524775,1.7146934
0.0,1.1892064
0.0,0.9075313
0.0,0.782595
0.0,0.79996186
0.0,1.0069722
0.0,1.5136445
0.6080137,2.503578
8.261553,4.227145
20.709925,6.8912487
41.025467,10.386604
34.561626,14.132969
36.919582,17.413315
34.471222,19.82743
41.025467,21.310537
41.025467,21.890629
41.025467,21.55421
40.63869,20.265722
30.797283,18.014395
21.480654,14.870509
6.4342337,11.157792
16.401646,7.5545115
21.839087,4.7215543
12.287548,2.8692036
12.287548,1.8033866
16.199518,1.2292178
14.143488,0.9233231
12.090607,0.7833891
12.090607,0.7911038
12.090607,0.99968886
12.090607,1.5357414
12.959571,2.611946
16.008059,4.5104117
15.491187,7.426699
21.132273,11.151002
31.226274,14.986166
14.380426,18.206516
23.167963,20.492643
28.01153,21.857622
40.86495,22.375607
41.025467,22.05326
41.025467,20.847397
26.489012,18.715403
18.921947,15.672856
14.6688795,11.960363
11.966251,8.208478
16.686771,5.1470737
13.084229,3.0971425
12.134793,1.9121442
6.0787883,1.2631348
6.0787883,0.93744934
6.0787883,0.78948927
6.0787883,0.77568394
6.0787883,0.9047519
6.0787883,1.2218868
6.0787883,1.806272
7.3623424,2.7730663
20.01302,4.263697
33.36016,6.386707
37.39189,9.08159
40.972595,12.008447
31.508766,14.6499605
29.21935,16.543848
30.122892,17.380737
20.870913,17.000008
32.291832,15.425482
40.56986,12.888978
34.56766,9.84503
32.95487,6.908917
27.560686,4.571098
26.304262,2.9690437
22.23236,1.9700955
16.384039,1.3747209
11.946524,1.0325655
14.595535,0.8460376
13.048512,0.77565706
6.0551333,0.81811035
5.8096595,1.0023292
7.52773,1.389369
2.9633477,2.0769598
14.100949,3.202369
23.733885,4.92085
41.025467,7.314304
41.025467,10.235288
24.27205,13.257589
23.754719,15.86708
14.16409,17.676014
19.980288,18.438185
21.123802,18.010082
10.427943,16.398985
14.783212,13.796365
5.3325515,10.608097
4.2473283,7.452501
0.0,4.89181
0.0,3.1284845
0.0,2.039961
3.0795918,1.4037565
6.5248275,1.3862444
6.5248275,0.99907875
6.5248275,0.80855256
0.65248275,0.78048164
0.0,0.94746715
0.0,1.4023407
3.3659053,2.300439
9.834025,3.8566148
0.6227651,6.281016
24.25624,9.56803
31.774052,13.270818
38.11199,16.681175
41.025467,19.310713
41.025467,21.038038
30.820396,21.89043
18.530397,21.862364
15.6510315,20.90688
11.588871,18.98775
15.01783,16.128553
15.139112,12.554529
9.533986,8.848783
5.6857285,5.7164097
16.491192,3.5176132
17.260382,2.174722
13.327974,1.0435907
15.1835785,0.8486165
15.1835785,0.77380073
21.154139,0.8158408
17.06902,1.0083984
15.1835785,1.422924
15.1835785,2.1754622
17.204357,3.4299448
41.025467,5.3636265
41.025467,8.0369425
41.025467,11.211383
