value,prediction
3.3700001,11.037513
9.84,10.477348
0.62,10.492222
24.26,10.5011635
27.35,11.648847
3.78,10.846405
4.25,10.609965
32.1,10.695968
31.29,10.911545
25.58,11.111328
19.619999,11.227782
20.53,11.237109
27.73,11.138005
25.85,10.942109
24.380001,10.6693945
6.35,10.345063
1.81,9.996818
0.0,9.546875
0.0,9.417378
6.27,9.275594
0.0,9.103282
1.63,8.945091
0.0,8.869676
0.0,8.991813
0.0,9.261419
0.099999994,9.616368
7.33,10.008356
16.43,10.400759
32.1,10.764118
6.1,10.46591
0.14,10.339197
32.1,10.505896
31.699999,10.776863
10.32,11.012823
12.93,11.153153
11.030001,11.178734
9.42,11.091043
12.64,10.903054
13.29,10.635443
5.73,10.313813
21.220001,9.966175
0.0,9.507446
10.26,9.379726
5.74,9.237274
5.74,9.061973
5.74,8.899805
0.0,8.8177185
0.0,8.93467
0.0,9.20013
1.74,9.552007
7.8799996,9.942298
14.320001,10.334622
24.83,10.699521
5.74,10.468918
5.74,10.319816
22.73,10.474355
14.85,10.739226
13.93,10.971509
31.429998,11.1099615
22.779999,11.135322
5.43,11.048611
21.310001,10.862135
11.17,10.595921
27.519999,10.275071
32.1,9.927295
5.74,9.46021
16.859999,9.334608
16.23,9.191781
14.43,9.013963
9.650001,8.848436
5.74,8.760384
5.74,8.872608
5.74,9.134064
14.71,9.482748
16.9,9.87105
24.81,10.262862
27.57,10.628805
5.9,10.457171
8.900001,10.281714
32.1,10.424259
22.91,10.684631
32.1,10.915082
28.310001,11.053389
14.84,11.0800495
15.94,10.995638
31.609999,10.811835
32.1,10.548061
32.1,10.228957
30.06,9.881933
8.900001,9.407574
25.63,9.284742
8.83,9.141831
9.97,8.961793
4.47,8.793235
8.900001,8.699579
7.83,8.8072
4.74,9.06448
4.74,9.409587
5.17,9.795375
16.949999,10.186084
32.1,10.5524645
11.809999,9.594111
11.809999,9.544504
32.1,8.872177
32.1,8.927935
32.1,8.493872
32.1,8.203647
32.1,8.6518545
30.44,8.978937
32.1,9.142788
32.1,9.190205
24.25,9.163348
14.08,9.09111
11.809999,8.564875
11.809999,8.319157
11.809999,8.046888
11.809999,7.7568974
2.11,7.504484
11.809999,7.373504
11.809999,7.463231
11.809999,7.7105584
11.809999,8.048966
11.809999,8.428681
12.6,8.812214
17.560001,9.169353
0.0,9.626172
6.11,9.67627
24.23,10.014133
22.11,10.403052
27.46,10.712459
28.33,10.8998575
15.44,10.958484
24.869999,10.895972
28.06,10.727725
20.1,10.47513
5.84,10.163894
13.95,9.822051
0.0,9.343944
5.68,9.226267
0.0,9.084778
0.0,8.903684
0.0,8.733049
0.0,8.634611
0.0,8.738066
0.0,8.9912195
2.07,9.332529
7.14,9.715408
14.16,10.104514
32.1,10.470783
0.0,9.095892
0.0,8.873932
22.880001,9.413259
16.67,9.86671
7.7000003,10.185348
11.9,10.359968
7.54,10.398383
16.74,10.31303
18.44,10.121094
14.12,9.844963
2.89,9.511317
4.46,9.149229
0.0,8.654205
10.370001,8.627725
0.7,8.56292
0.0,8.3735695
3.3700001,8.172173
0.0,8.0554285
0.0,8.414684
0.0,8.845832
0.0,9.120374
0.0,9.262677
3.78,9.317619
24.980001,9.317474
0.61,9.754211
6.11,9.9635935
26.07,10.266612
25.730001,10.545712
