value,prediction
3.3700001,3.0066922
9.84,4.51885
0.62,6.1495514
24.26,7.7052193
27.350002,7.683629
3.78,-0.081705526
4.25,-0.75219774
48.6,7.6411314
31.29,9.736012
25.58,10.955844
19.619999,11.44092
20.53,11.437295
27.730001,11.079667
25.85,10.417117
24.38,9.460146
6.3500004,8.21278
1.8100001,6.700148
0.0,0.4088327
0.0,3.825224
6.27,2.5835469
0.0,1.3979818
1.63,0.30511957
0.0,-0.44355252
0.0,0.17403813
0.0,1.2319324
0.1,2.6554909
7.3300004,4.3007464
16.43,6.0336194
46.05,7.705928
6.1,0.33863074
0.14,-0.371646
37.81,8.116933
31.699999,10.241923
10.32,11.484116
12.93,11.976279
11.03,11.9832535
9.42,11.642963
12.64,11.0014715
13.29,10.065792
5.73,8.834887
21.220001,7.3243637
0.0,0.87187296
10.26,4.299126
5.7400002,3.0149508
5.7400002,1.7869223
5.7400002,0.65056443
0.0,-0.13187575
0.0,0.47054958
0.0,1.5307232
1.7399999,2.968372
7.8799996,4.6360865
14.32,6.397337
24.83,8.102287
5.7400002,0.7607041
5.7400002,-0.01509048
22.73,8.5968895
14.85,10.756534
13.93,12.008448
31.43,12.508252
22.78,12.533019
5.43,12.217319
21.310001,11.603295
11.17,10.695715
27.519999,9.490257
37.16,7.994398
5.7400002,1.4033663
16.86,4.8296375
16.23,3.5019193
14.429999,2.2247422
9.65,1.0372524
5.7400002,0.2126769
5.7400002,0.7946883
5.7400002,1.8550518
14.71,3.305954
16.9,4.9961557
24.81,6.786841
27.57,8.525994
5.9,1.2298304
8.900001,0.3761701
38.43,9.108721
22.91,11.301372
36.170002,12.555851
28.310001,13.060273
14.839999,13.102414
15.94,12.8116865
31.61,12.226243
34.23,11.349484
43.52,10.175356
30.06,8.705154
8.900001,2.0093868
25.630001,5.4228163
8.83,4.0518947
9.969999,2.718604
4.47,1.4704243
8.900001,0.5923791
7.83,1.1471088
4.74,2.2048576
4.74,3.6679928
5.17,5.380887
16.95,7.2021265
38.739998,8.976868
11.809999,-0.96215016
11.809999,-1.1476816
32.68,6.2632937
57.09,7.5393624
48.76,8.507179
47.1,7.9495225
41.05,8.557915
30.439999,8.451855
38.08,7.9667096
47.71,7.2078958
24.25,6.2397575
14.079999,5.123986
11.809999,-0.86682606
11.809999,2.8545792
11.809999,1.7507899
11.809999,0.7100372
2.1100001,-0.33110663
11.809999,-1.1861898
11.809999,-0.761777
11.809999,0.12237154
11.809999,1.3849633
11.809999,2.8788798
12.599999,4.476833
17.56,6.0623293
0.0,0.7070303
6.1099997,0.18137752
24.230001,9.32469
22.11,11.715722
27.46,13.115614
28.33,13.661992
15.44,13.715761
24.87,13.438517
