value,prediction
3.3700001,4.5451117
9.84,5.540024
0.62,6.638125
24.26,7.621689
27.350002,7.1414676
3.78,1.5221835
4.25,1.0210922
48.6,7.515656
31.29,8.575384
25.58,9.354134
19.619999,9.584854
20.53,9.522822
27.730001,9.208251
25.85,8.654773
24.38,7.877793
6.3500004,6.9064164
1.8100001,5.7892947
0.0,1.3228929
0.0,4.3709598
6.27,3.0269027
0.0,2.3510792
1.63,1.4242952
0.0,0.89221567
0.0,1.5481088
0.0,2.4290035
0.1,3.598552
7.3300004,4.8278604
16.43,6.033061
46.05,7.1219606
6.1,1.9598854
0.14,1.5062107
37.81,7.7136297
31.699999,8.775596
10.32,9.588199
12.93,9.850796
11.03,9.814108
9.42,9.516814
12.64,8.97453
13.29,8.203811
5.73,7.23476
21.220001,6.117091
0.0,1.6241174
10.26,4.7049685
5.7400002,3.32304
5.7400002,2.6718147
5.7400002,1.7363762
0.0,1.2072918
0.0,1.8549911
0.0,2.7239788
1.7399999,3.8889604
7.8799996,5.118195
14.32,6.3229055
24.83,7.4152207
5.7400002,2.4108999
5.7400002,1.9961346
22.73,7.9647493
14.85,9.027548
13.93,9.861852
31.43,10.150648
22.78,10.137491
5.43,9.857921
21.310001,9.32724
11.17,8.562528
27.519999,7.594612
37.16,6.474237
5.7400002,1.9522667
16.86,5.0548263
16.23,3.6389246
14.429999,3.0078027
9.65,2.0603027
5.7400002,1.5314481
5.7400002,2.1666877
5.7400002,3.0207603
14.71,4.176042
16.9,5.3984227
24.81,6.603107
27.57,7.7007985
5.9,2.8651595
8.900001,2.4743314
38.43,8.215258
22.91,9.282256
36.170002,10.136027
28.310001,10.450273
14.839999,10.460146
15.94,10.198187
31.61,9.679253
34.23,8.920772
43.52,7.954111
30.06,6.8308725
8.900001,2.2837179
25.630001,5.3949785
8.83,3.951666
9.969999,3.3378289
4.47,2.3779888
8.900001,1.8477229
7.83,2.4685628
4.74,3.3079615
4.74,4.4539776
5.17,5.670672
16.95,6.876546
38.739998,7.980775
11.809999,1.4292601
11.809999,1.2512593
32.68,6.6719084
57.09,7.7761607
48.76,7.4145308
47.1,6.9416685
41.05,7.81289
30.439999,7.8964734
38.08,7.638354
47.71,7.127883
24.25,6.418506
14.079999,5.570938
11.809999,1.0448852
11.809999,4.453421
11.809999,2.9632874
11.809999,2.3603237
2.1100001,1.3817002
11.809999,0.7665188
11.809999,1.3414279
11.809999,2.1455078
11.809999,3.2766535
11.809999,4.4904213
12.599999,5.705717
17.56,6.8214545
0.0,3.2389321
6.1099997,1.7781286
24.230001,8.294413
22.11,9.434672
27.46,10.39192
28.33,10.761919
15.44,10.807181
24.87,10.566164
28.060001,10.057758
20.1,9.302194
5.8399997,8.332642
13.95,7.202189
0.0,2.629151
5.68,5.733786
0.0,4.2674212
0.0,3.666064
0.0,2.6924539
0.0,2.158127
0.0,2.762056
0.0,3.5863917
2.0700002,4.7227917
7.1400003,5.9336233
14.16,7.1411824
37.510002,8.252725
0.0,2.2383602
0.0,1.1244715
22.88,7.993842
16.67,8.9261465
7.7,9.3297205
11.9,9.548884
7.54,9.524023
16.74,9.248069
18.44,8.717846
14.120001,7.9468164
2.89,6.9676905
4.46,5.834426
0.0,1.2060941
10.370001,4.6648417
0.7,3.9258492
0.0,2.4641385
3.3700001,1.5340354
0.0,0.8479439
0.0,1.8791951
0.0,3.0103545
0.0,4.1483383
0.0,5.3150167
3.78,6.43077
24.98,7.399198
0.61,1.9012108
6.1099997,1.2032349
26.07,7.305977
25.73,8.43074
13.41,9.142119
15.57,9.3348675
12.96,9.231197
10.05,8.888053
14.619999,8.316916
21.79,7.533474
27.29,6.5576777
20.47,5.4361453
2.26,0.78243655
6.9700003,3.946005
0.58,2.7325635
0.0,1.9560736
0.0,1.0016679
0.0,0.36162123
0.0,1.0314211
0.0,1.9843564
6.83,3.2455335
3.28,4.570034
5.73,5.847188
13.68,6.967183
0.0,1.688796
0.0,0.8748064
28.159998,7.4850516
29.749998,8.6228895
25.289999,9.368223
26.279999,9.578605
18.8,9.499096
20.550001,9.1771965
32.59,8.625923
23.23,7.8572354
14.809999,6.8944883
16.26,5.780992
0.0,1.1060587
10.92,4.330311
6.0800004,3.0729475
1.1099999,2.3226492
0.0,1.3660504
0.0,0.7351308
0.0,1.4014281
0.0,2.338104
0.0,3.585571
11.36,4.8963804
21.529999,6.1642437
24.93,7.2765074
0.0,2.013251
0.0,1.3014138
25.650002,7.7809744
31.29,8.904343
24.890001,9.667399
29.789999,9.896969
20.970001,9.836303
29.789999,9.529901
45.030003,8.990106
28.890001,8.228967
26.43,7.270245
10.09,6.157956
4.47,1.4606894
5.4700003,4.7236037
10.9,3.4234347
7.56,2.6959484
0.0,1.7325871
1.87,1.107131
0.0,1.766259
0.0,2.6848733
5.52,3.916616
5.34,5.211307
21.49,6.468821
22.640001,7.578148
0.0,2.3409553
0.0,1.7245946
32.44,8.066918
40.05,9.186499
61.18,9.968768
36.3,10.219215
19.890001,10.177589
9.29,9.886614
10.18,9.358135
8.25,8.604325
8.89,7.649279
15.28,6.537595
0.0,1.8212156
16.43,5.1088357
6.23,3.7723155
3.25,3.0657036
5.81,2.0945823
0.0,1.4729047
0.0,2.1227193
0.0,3.02393
0.0,4.241211
3.6200001,5.522027
10.8,6.7714005
31.37,7.879649
5.81,2.674789
1.36,2.1446137
24.02,8.344475
15.19,9.468466
12.28,10.270155
28.15,10.542195
37.539997,10.519872
19.849998,10.244393
12.74,9.7272415
18.28,8.980726
36.49,8.029181
17.59,6.9176726
0.0,2.1858327
14.01,5.484365
11.610001,4.118204
10.25,3.430061
7.73,2.4505765
0.0,1.8310387
0.0,2.4696157
1.73,3.3540745
5.99,4.5579634
7.89,5.826897
19.18,7.0700655
25.02,8.178791
0.0,3.0126123
0.0,2.5589824
11.41,8.6127405
20.769999,9.74806
26.710001,10.569125
30.220001,10.863391
26.19,10.86064
18.48,10.600802
24.99,10.095088
18.71,9.355945
21.019999,8.40786
13.29,7.2962413
0.0,2.552907
6.6499996,5.848952
0.0,4.4599195
0.0,3.787462
1.2,2.7993746
0.0,2.1804018
0.0,2.8060553
0.0,3.6743956
0.0,4.865796
5.92,6.1245923
19.77,7.3632407
22.17,8.473771
4.93,2.2527628
4.93,1.4837013
17.529999,7.035456
12.33,8.044047
14.4800005,7.7875643
19.65,7.67117
25.460001,8.220046
8.259999,8.100407
10.21,7.7530355
34.13,7.2329407
19.67,6.573853
13.18,5.817219
3.88,1.0770922
10.25,3.6995552
5.11,2.9920948
0.0,2.374063
1.43,1.1617924
0.0,1.9911803
0.0,2.6713324
0.0,3.1010556
3.74,3.6981657
3.28,4.840522
5.48,5.9577394
13.599999,6.965657
0.0,2.4569576
0.0,1.1024016
25.210001,8.055092
32.36,9.093081
38.95,9.82837
36.24,10.027143
30.82,9.943483
16.74,9.621481
26.58,9.071789
31.42,8.30448
15.110001,7.3431373
4.35,6.232039
0.0,1.5968058
5.99,4.8128185
4.1699996,3.4997005
0.0,2.793933
0.0,1.8432678
0.0,1.246258
