value,prediction
0.5035905,0.13149452
0.06205119,0.083688304
0.06960044,0.028027683
0.07825447,0.018801183
0.89486283,0.13838439
0.576137,0.15789697
0.4709998,0.17223594
0.36125943,0.17648415
0.3780151,0.17534196
0.5105874,0.16954982
0.47597128,0.15935874
0.44890442,0.14505234
0.11692138,0.12716657
0.033327196,0.106597215
0.0,0.024358183
0.0,0.08048167
0.115448356,0.0557338
0.0,0.04328999
0.030012889,0.026225284
0.0,0.016428202
0.0,0.028505042
0.0,0.044724792
0.0018412815,0.06625947
0.13496594,0.0888945
0.30252257,0.11108564
0.84791017,0.13113534
0.1811821,0.102007434
0.11231817,0.036087006
0.0025777943,0.02773358
0.69618857,0.14202964
0.58368623,0.16158342
0.19002025,0.17654574
0.2380777,0.18138088
0.20309335,0.18070535
0.17344873,0.17523134
0.23273799,0.16524637
0.24470632,0.15105525
0.10550543,0.1332123
0.39071995,0.11263287
0.0,0.029904574
0.18891549,0.086631715
0.10568956,0.061186522
0.10568956,0.049195632
0.10568956,0.031971574
0.0,0.022229642
0.0,0.034155607
0.0,0.050156116
0.032038298,0.07160671
0.14509298,0.09424038
0.26367152,0.11642249
0.45719022,0.1365351
0.011415945,0.122226566
0.10568956,0.044391453
0.10568956,0.03675446
0.41852328,0.14665346
0.27343032,0.16622257
0.25649053,0.18158445
0.5787148,0.186902
0.41944394,0.18665975
0.09998158,0.18151207
0.3923771,0.17174076
0.20567115,0.15766025
0.50672066,0.13983819
0.6842202,0.11920893
0.10568956,0.035946727
0.31044006,0.093073584
0.29884,0.06700285
0.2656969,0.055382118
0.17768367,0.037935972
0.10568956,0.028198272
0.10568956,0.03989482
0.10568956,0.0556207
0.2708525,0.07689269
0.31117657,0.09940016
0.45682195,0.12158179
0.5076413,0.14179339
0.4466949,0.14033675
0.10863561,0.052755654
0.16387406,0.045559406
0.70760447,0.15126602
0.4218376,0.17091246
0.66599154,0.1866328
0.5212668,0.19241893
0.27324617,0.19260073
0.29350027,0.18777733
0.5820291,0.17822228
0.63027066,0.16425651
0.80132574,0.14645758
0.5534892,0.12577559
0.16387406,0.042049676
0.47192046,0.09933674
0.16258515,0.0727613
0.18357576,0.061458826
0.08230528,0.043785468
0.16387406,0.03402178
0.14417234,0.04545319
0.08727674,0.060908884
0.08727674,0.08201027
0.09519426,0.10441303
0.31209722,0.12661657
0.71331245,0.14694853
0.21745534,0.026316702
0.0,0.05963786
0.1125023,0.032740355
0.44614252,0.15272349
0.40710735,0.17371888
0.5056159,0.1913445
0.52163506,0.19815724
0.28429386,0.19899064
0.45792672,0.19455282
0.5166636,0.18519165
0.37009758,0.17127958
0.10753084,0.15342739
0.25685877,0.13261257
0.0,0.048410073
0.10458479,0.105575144
0.0,0.07857524
0.0,0.06750256
0.0,0.049575657
0.0,0.039737195
0.0,0.05085723
0.0,0.06603557
0.03811453,0.08695989
0.1314675,0.10925471
0.26072547,0.13148928
0.6906647,0.15195589
0.21745534,0.023039207
0.0,0.04121451
0.6017308,0.122848615
0.0,0.020704687
1.0511876,0.14318101
0.4212852,0.14718914
0.30694163,0.16435549
0.14177868,0.17178643
0.2191125,0.17582184
0.13883263,0.17536408
0.30823052,0.17028299
0.33953232,0.16052009
0.25998896,0.14632326
0.053213038,0.1282948
0.082121156,0.10742821
0.0,0.022207588
0.89780885,0.13652238
0.1909409,0.08589286
0.012888971,0.072285935
0.0,0.045371726
0.06205119,0.028245911
0.0,0.015613034
0.8672436,0.12781566
0.0,0.03460127
0.7558461,0.1438573
0.0,0.0554291
0.5604861,0.1453963
0.0,0.076382585
0.70116,0.1406436
0.0,0.09786442
0.8784754,0.13124439
0.06960044,0.118408576
0.44651076,0.11818277
0.45995212,0.13624007
0.25925243,0.10257665
0.21745534,0.019239277
0.21745534,0.08200002
0.21745534,0.054562464
0.21745534,0.043460205
0.03885104,0.02544099
0.21745534,0.014113769
0.21745534,0.024699464
0.21745534,0.03950484
0.21745534,0.060332417
0.21745534,0.0826813
0.23200147,0.10505831
0.32332903,0.12560219
0.011231817,0.035006642
0.1125023,0.022154942
0.4800221,0.1345236
0.47376174,0.15523367
0.24691585,0.16833216
0.28668752,0.1718812
0.23863009,0.16997233
0.18504879,0.16365407
0.26919535,0.15313785
0.40121526,0.13871247
0.50248575,0.12074531
0.37691033,0.10009474
0.041612964,0.01440686
0.12833732,0.07265706
0.010679433,0.050314188
0.0,0.03601682
0.0,0.018443525
0.0,0.0066584647
0.0,0.018991366
0.0,0.036537588
0.12575953,0.05975941
0.060394034,0.08414719
0.10550543,0.10766319
0.25188732,0.12828545
0.0,0.03109549
0.0,0.016107649
0.51850486,0.13782087
0.5477812,0.15877168
0.4656601,0.17249537
0.48388878,0.17636907
0.34616092,0.17490509
0.37838337,0.16897802
0.60007364,0.15882753
0.4277297,0.14467382
0.27269378,0.12694694
0.29939237,0.10644434
0.0,0.020365655
0.20106794,0.079733215
0.11194992,0.056581616
0.020438224,0.04276651
0.0,0.025152832
0.0,0.013535827
0.0,0.025804237
0.0,0.04305108
0.0,0.06602046
0.20916958,0.090156145
0.3964279,0.11350108
0.4590315,0.13398099
0.0,0.03706962
0.0,0.023962691
0.47228873,0.14326964
0.576137,0.16395402
0.458295,0.17800404
0.54851776,0.18223105
0.38611674,0.18111403
0.54851776,0.1754723
0.8291291,0.16553316
0.53194624,0.15151845
0.4866507,0.13386568
0.18578531,0.113385305
0.08230528,0.026895404
0.1007181,0.086974844
0.20069969,0.06303507
0.13920088,0.04964
0.0,0.031901807
0.034431964,0.0203854
0.0,0.0325218
0.0,0.049436077
0.10163874,0.07211593
0.09832443,0.095954835
0.3956914,0.119109206
0.41686615,0.13953504
0.0,0.043103576
0.0,0.031754643
0.59731174,0.14853469
0.73743325,0.16914931
1.1264961,0.18355308
0.6683852,0.18816452
0.3662309,0.18739808
0.17105505,0.1820404
0.18744247,0.1723096
0.15190573,0.15842986
0.16368993,0.14084476
0.2813478,0.12037553
0.0,0.033533707
0.30252257,0.09406805
0.114711836,0.06945895
0.05984165,0.056448236
0.10697845,0.038567156
0.0,0.027120322
0.0,0.03908524
0.0,0.055679068
0.0,0.078092635
0.06665439,0.10167606
0.19885841,0.12468055
0.57761,0.14508653
0.10697845,0.049250394
0.02504143,0.039488375
0.44227582,0.15364528
0.27969065,0.17434111
0.22610937,0.18910247
0.51832074,0.1941115
0.69121706,0.19370045
0.36549437,0.18862812
0.23457927,0.17910591
0.33658627,0.16536045
0.67188364,0.14783981
0.32388142,0.12737383
0.0,0.040247336
0.25796354,0.1009826
0.21377279,0.07582773
0.18873136,0.06315708
0.14233106,0.045122012
0.0,0.033714578
0.0,0.045472577
0.03185417,0.061757952
0.11029276,0.08392494
0.14527711,0.10728958
0.3531578,0.13017981
0.46068865,0.15059458
0.0,0.055470675
0.0,0.047118068
0.21009022,0.1585848
0.38243416,0.17948923
0.4918063,0.19460735
0.5564353,0.2000256
0.48223165,0.19997495
0.34026882,0.19519061
0.46013626,0.18587899
0.34450376,0.17226928
0.38703737,0.15481237
0.24470632,0.13434434
0.0,0.047006205
0.12244522,0.10769567
0.0,0.08211967
0.0,0.06973784
0.022095378,0.05154437
0.0,0.040147334
0.0,0.051667377
0.0,0.067655966
0.0,0.08959301
0.109003864,0.11277099
0.36402136,0.13557799
0.40821213,0.15602598
0.09077518,0.041479707
0.0,0.04523951
0.0,0.020298317
0.4641871,0.14831692
0.5958387,0.16742924
0.7171792,0.18096796
0.66728044,0.18462792
0.56748295,0.18308753
0.30823052,0.17715855
0.48941264,0.16703717
0.57853067,0.15290885
0.27821764,0.13520783
0.080095746,0.11474939
0.0,0.02940169
0.11029276,0.08861754
0.07678144,0.06443934
0.0,0.051444173
0.0,0.03393975
0.0,0.022947118
0.0,0.035032287
0.0,0.0516226
0.09519426,0.073800966
0.21285215,0.0970635
0.37488493,0.11957837
0.43325356,0.13965069
0.09077518,0.027319118
0.0,0.04253353
0.32277665,0.12954256
0.0,0.03291765
0.22703001,0.14811356
0.21782361,0.1606175
0.29939237,0.17575426
0.26109374,0.18373033
0.40968513,0.18740048
0.38206592,0.18672463
0.37028173,0.181649
0.2995765,0.17219783
0.3415577,0.15855947
0.26127785,0.14119992
0.20088382,0.12096486
0.0,0.03539829
0.26661757,0.14339098
0.2380777,0.102142625
0.22592524,0.08294778
0.12502302,0.058722407
0.109003864,0.041011408
0.0,0.029089361
0.36181182,0.14124784
0.0,0.053313315
0.4687903,0.1513542
0.0,0.07145162
0.15208985,0.1491513
0.073467135,0.0898079
0.18799484,0.14275521
0.21892837,0.10920283
0.6284294,0.1331788
0.24120788,0.12769912
0.36218008,0.121043146
0.2552016,0.14346397
0.2426809,0.10711137
0.071441725,0.019832298
0.109003864,0.043083116
0.18873136,0.06811923
0.109003864,0.028321505
0.094089486,0.055092886
0.60670227,0.15027863
0.44816792,0.17165008
0.5212668,0.18616614
0.62419444,0.19194107
0.74203646,0.19228947
0.5431781,0.18783224
0.4179709,0.17879362
0.20677592,0.1654284
0.24176027,0.14821598
0.32811636,0.12802474
0.109003864,0.042194754
0.0,0.043713182
0.314675,0.09428577
0.20953783,0.07677011
0.20438226,0.06363833
0.089486286,0.046597987
0.109003864,0.035651386
0.026330326,0.021391869
0.109003864,0.04923837
0.053028908,0.06228134
0.02982876,0.085627474
0.16092801,0.108247116
0.38574848,0.13075452
0.55827653,0.15084577
0.0,0.036663234
0.089118026,0.05915585
0.089118026,0.03148389
0.50211746,0.15933913
0.53028905,0.17954144
0.7398269,0.1950599
0.544467,0.20047195
0.4774443,0.20042998
0.61959124,0.19567773
0.4746824,0.18641457
0.17308046,0.17286119
0.12078807,0.15547909
0.1942552,0.13511741
0.17289634,0.048892885
0.26772234,0.1087293
0.21229976,0.08309885
0.11287056,0.0710949
0.11287056,0.053129226
0.14932793,0.04225421
0.089118026,0.053737715
0.089118026,0.06950848
0.080464005,0.09106311
0.0,0.1137459
0.067390904,0.13613173
0.19038852,0.15630308
0.0,0.04918675
0.11287056,0.038031876
0.11287056,0.011855215
0.33971643,0.14031737
0.60191494,0.15415382
0.54244155,0.16982439
0.29810348,0.17484295
0.46602836,0.17494024
0.6635979,0.17024277
0.44577426,0.1609433
0.22482048,0.14730199
0.27582398,0.12985657
0.13956913,0.10952419
0.11287056,0.023121238
0.0,0.086278796
0.074019514,0.056629613
0.09666728,0.046061844
0.114711836,0.02763316
0.023752531,0.017008275
0.0,0.027221516
0.0,0.041575313
0.0,0.061932623
0.07899098,0.08391824
0.05873688,0.10607449
0.1301786,0.12657987
0.0,0.057099164
0.19480759,0.035206556
0.19480759,0.017017037
0.5645369,0.13679299
0.613515,0.15612775
0.76615727,0.16932383
0.65420735,0.17272328
0.42459953,0.17080455
0.24746823,0.1644648
0.4113423,0.153973
0.25649053,0.1395654
0.056159087,0.121710315
0.0,0.10123347
0.19480759,0.018230408
0.020806482,0.074748844
0.037562143,0.051607326
0.0,0.03823407
0.0,0.021209806
0.097403795,0.010654926
0.10734671,0.022916555
0.18099797,0.039741457
0.15614067,0.061900765
0.20162033,0.08512889
0.30104953,0.10757135
0.6171976,0.12755264
0.06886393,0.06809364
0.0,0.02868992
0.0,0.013432726
0.6081753,0.13841598
0.6113055,0.15825382
0.45958388,0.17225963
0.4218376,0.17630856
0.5827656,0.17505135
0.49162218,0.16929665
0.45203462,0.15928239
0.23457927,0.1452373
0.09280059,0.12763694
0.09758792,0.10732494
0.0,0.023883432
0.05487019,0.08141652
0.0,0.057524204
0.04897809,0.044635534
0.109003864,0.027513832
0.0,0.017085165
0.0,0.029271036
0.0,0.04584703
0.0,0.06782903
0.14048979,0.090888366
0.5104032,0.113207825
0.783097,0.13316007
0.060394034,0.08912763
0.109003864,0.036885172
0.20033143,0.022387713
0.7652366,0.14308496
0.6072546,0.16281968
0.33382434,0.17729738
0.30988768,0.1818517
0.2531762,0.1810379
0.44522187,0.17561778
